Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,240.00,239.00,240.00,231.00,3260407
05-Jan-2009,241.75,244.50,248.00,236.75,6133724
06-Jan-2009,249.25,287.00,287.00,249.25,16225378
07-Jan-2009,275.00,260.00,286.25,254.50,16234715
08-Jan-2009,258.75,253.00,258.75,244.00,10203918
09-Jan-2009,255.25,243.75,256.25,241.50,7831070
12-Jan-2009,240.00,230.00,240.25,220.00,11504703
13-Jan-2009,219.25,225.25,228.25,218.00,9682844
14-Jan-2009,207.00,210.00,219.50,200.00,30865838
15-Jan-2009,204.25,213.00,218.50,199.00,20291876
16-Jan-2009,221.50,225.75,231.75,218.75,19612198
19-Jan-2009,235.00,214.75,235.00,210.00,11127832
20-Jan-2009,220.00,214.00,226.00,210.50,9750317
21-Jan-2009,212.25,220.75,222.50,202.50,16334759
22-Jan-2009,224.50,206.75,232.00,205.00,10004982
23-Jan-2009,209.75,215.50,218.50,198.00,13551306
26-Jan-2009,212.50,224.00,225.25,212.50,7031401
27-Jan-2009,225.00,215.50,228.75,210.00,7438029
28-Jan-2009,222.00,221.75,225.50,216.00,11879457
29-Jan-2009,218.50,201.75,218.50,196.70,14682053
30-Jan-2009,201.75,206.25,210.75,199.30,9487488
02-Feb-2009,205.00,183.50,206.00,182.40,11410857
03-Feb-2009,185.10,190.70,192.70,181.00,10619530
04-Feb-2009,191.00,204.25,208.50,191.00,13424873
05-Feb-2009,202.00,204.50,207.50,197.50,8148379
06-Feb-2009,204.50,209.75,216.25,199.60,13679529
09-Feb-2009,207.25,213.75,215.50,202.00,7951715
10-Feb-2009,210.00,204.25,214.00,203.50,7431417
11-Feb-2009,199.00,201.75,206.25,195.10,4803125
12-Feb-2009,202.25,207.75,208.75,198.30,8619237
13-Feb-2009,209.00,201.75,215.00,199.10,7105890
16-Feb-2009,200.75,193.40,202.00,192.80,5131373
17-Feb-2009,198.00,179.00,198.00,178.20,9861763
18-Feb-2009,178.20,184.10,186.10,172.00,16628362
19-Feb-2009,184.80,178.40,187.00,176.20,5335420
20-Feb-2009,175.00,169.70,175.00,161.00,17539916
23-Feb-2009,171.40,173.30,178.00,166.80,13130330
24-Feb-2009,171.20,170.60,172.20,156.40,16156560
25-Feb-2009,175.60,177.50,181.50,173.70,11242865
26-Feb-2009,180.10,184.40,186.60,176.10,10505443
27-Feb-2009,171.60,171.90,182.40,162.60,11407202
02-Mar-2009,168.00,162.40,168.00,160.70,7457531
03-Mar-2009,163.30,158.10,165.00,155.40,11294267
04-Mar-2009,165.00,170.90,172.60,161.60,9637808
05-Mar-2009,170.50,152.60,170.50,152.60,12377597
06-Mar-2009,153.40,159.10,164.20,151.50,15810809
09-Mar-2009,157.60,155.50,159.80,150.40,9699048
10-Mar-2009,163.00,175.80,185.20,163.00,29850174
11-Mar-2009,179.40,189.90,197.30,174.90,19556684
12-Mar-2009,184.80,187.20,193.60,180.00,12557815
13-Mar-2009,194.00,193.00,209.25,190.90,16351349
16-Mar-2009,195.10,195.00,201.50,190.20,12059332
17-Mar-2009,194.50,190.30,195.10,182.90,11358538
18-Mar-2009,191.40,189.80,195.00,184.20,6429295
19-Mar-2009,197.40,198.00,207.75,192.10,17660352
20-Mar-2009,193.00,208.75,208.75,192.50,20740704
23-Mar-2009,216.50,213.00,217.00,198.20,14573241
24-Mar-2009,215.50,201.25,220.25,199.20,14205864
25-Mar-2009,198.50,207.50,211.50,195.60,9206736
26-Mar-2009,207.50,219.00,237.75,207.50,26508076
27-Mar-2009,220.00,213.00,224.50,206.75,15761687
30-Mar-2009,206.75,199.10,211.00,199.10,9696730
31-Mar-2009,208.25,218.50,220.25,202.75,11881992
01-Apr-2009,219.75,217.75,220.25,210.75,7144044
02-Apr-2009,226.75,254.25,256.75,224.25,14197577
03-Apr-2009,249.50,246.75,258.75,244.25,9622967
06-Apr-2009,258.75,244.50,258.75,241.75,7481638
07-Apr-2009,245.25,226.00,247.50,226.00,7112355
08-Apr-2009,218.25,220.75,223.00,215.00,10452419
09-Apr-2009,225.25,237.50,239.75,220.00,8754796
14-Apr-2009,243.75,252.00,259.25,238.00,9767533
15-Apr-2009,249.50,241.00,249.50,237.00,7553305
16-Apr-2009,241.00,251.50,251.50,239.25,5922792
17-Apr-2009,260.50,274.00,276.25,253.75,9618883
20-Apr-2009,271.00,247.25,272.75,245.00,10744484
21-Apr-2009,248.25,245.25,248.25,233.50,9295534
22-Apr-2009,243.00,249.75,251.50,235.00,8423409
23-Apr-2009,248.75,238.75,249.75,236.75,7020000
24-Apr-2009,244.00,248.75,248.75,237.25,6803966
27-Apr-2009,245.50,243.25,245.50,237.25,3682112
28-Apr-2009,239.25,237.75,242.00,231.50,4694815
29-Apr-2009,236.00,246.75,248.50,233.75,7371511
30-Apr-2009,250.50,253.50,260.00,248.50,9529174
01-May-2009,251.50,248.00,259.00,243.00,5206077
05-May-2009,263.00,258.25,264.00,248.50,8158965
06-May-2009,254.50,243.75,256.25,241.50,14067730
07-May-2009,244.00,236.75,253.00,232.75,12230261
08-May-2009,248.00,241.25,248.00,237.50,10133314
11-May-2009,243.00,245.25,248.00,235.25,7404228
12-May-2009,240.25,231.50,242.75,230.00,9686370
13-May-2009,233.50,225.50,234.75,222.25,8004935
14-May-2009,226.75,229.25,231.50,219.50,8756401
15-May-2009,232.00,231.00,233.50,225.50,9062025
